Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2024-12-09T03:44:36+03:00,2024-12-09T02:40:02+03:00,7226,Unoccupied,23386,"-37.81291378884782, 144.94055147494873"
2024-12-09T03:44:36+03:00,2024-12-09T01:43:20+03:00,7417,Unoccupied,61643,"-37.81981366699077, 144.95580820855713"
2024-12-09T03:44:36+03:00,2024-12-09T02:51:43+03:00,7417,Present,61644,"-37.81983178241323, 144.95574398443216"
2024-12-09T03:44:36+03:00,2024-12-09T03:17:16+03:00,7571,Present,65668,"-37.81425974119931, 144.95541478498689"
2024-12-09T03:44:36+03:00,2024-12-09T03:30:18+03:00,7571,Present,65666,"-37.81424287000405, 144.95547382216665"
2024-12-09T03:44:36+03:00,2024-12-09T03:31:57+03:00,7571,Present,65663,"-37.81421830513031, 144.95556010864127"
2024-12-09T03:44:36+03:00,2024-12-09T03:38:23+03:00,7451,Present,60221,"-37.817075885100294, 144.96842568827884"
2024-12-09T03:44:36+03:00,2024-12-09T03:29:02+03:00,7561,Unoccupied,65818,"-37.808607878231, 144.970924044992"
2024-12-09T03:44:36+03:00,2024-12-09T03:03:44+03:00,7205,Present,23850,"-37.81573920140633, 144.9453783334325"
2024-12-09T03:44:36+03:00,2024-12-09T03:36:02+03:00,7780,Present,65487,"-37.81282309437222, 144.9607417489296"
2024-12-09T03:44:36+03:00,2024-12-09T03:17:50+03:00,7191,Present,15326,"-37.813785369878, 144.94014689679244"
2024-12-09T03:44:36+03:00,2024-12-09T01:30:42+03:00,7261,Unoccupied,16789,"-37.812919869542895, 144.93662218231873"
2024-12-09T03:44:36+03:00,2024-12-09T03:34:55+03:00,7251,Present,16415,"-37.809668877240526, 144.98110632910758"
2024-12-09T03:44:36+03:00,2024-12-09T02:58:21+03:00,7721,Unoccupied,24047,"-37.80485302791918, 144.95725779308742"
2024-12-09T03:44:36+03:00,2024-12-08T12:19:54+03:00,7721,Unoccupied,23971,"-37.80467502417579, 144.9572892331941"
2024-12-09T03:44:36+03:00,2024-12-07T11:58:48+03:00,7721,Present,23973,"-37.804624166194984, 144.95729821547644"
2024-12-09T03:44:36+03:00,2024-12-08T13:14:05+03:00,7716,Unoccupied,9433,"-37.80468876939039, 144.95740098398056"
2024-12-09T03:44:36+03:00,2024-12-09T02:38:27+03:00,7485,Present,56915,"-37.81682057459061, 144.95605201479813"
2024-12-09T03:44:36+03:00,2024-12-09T03:20:08+03:00,7486,Unoccupied,56918,"-37.816652485915284, 144.9559753633596"
2024-12-09T03:44:36+03:00,2024-12-09T02:56:59+03:00,7163,Present,21371,"-37.8201632891837, 144.94866249907489"
2024-12-09T03:44:36+03:00,2024-12-09T03:39:43+03:00,7232,Present,18066,"-37.813509381874255, 144.93939985108887"
2024-12-09T03:44:36+03:00,2024-12-09T03:34:20+03:00,7178,Unoccupied,13424,"-37.81964805208817, 144.94444535775435"
2024-12-09T03:44:36+03:00,2024-12-09T01:44:34+03:00,7547,Present,66442,"-37.81302789935443, 144.95594370941444"
2024-12-09T03:44:36+03:00,2024-12-09T02:52:27+03:00,7674,Unoccupied,51858,"-37.81425734115078, 144.9686424943515"
2024-12-09T03:44:36+03:00,2024-12-09T02:50:44+03:00,7400,Unoccupied,50932,"-37.813609073228754, 144.97118684925354"
2024-12-09T03:44:36+03:00,2024-02-02T02:20:18+03:00,,Unoccupied,24474,"-37.80800795727764, 144.95548565521523"
2024-12-09T03:44:36+03:00,2024-12-09T03:42:10+03:00,7396,Present,51153,"-37.811451345267386, 144.97019100455472"
2024-12-09T03:44:36+03:00,2024-12-09T03:30:39+03:00,7536,Present,62734,"-37.81362523089549, 144.9690102149233"
2024-12-09T03:44:36+03:00,2024-12-09T01:29:50+03:00,7529,Present,62759,"-37.81369645832241, 144.9689400643884"
2024-12-09T03:44:36+03:00,2024-11-03T12:04:43+03:00,7270,Present,24601,"-37.81151601553566, 144.9861360235867"
2024-12-09T03:44:36+03:00,2024-12-09T02:56:46+03:00,7247,Present,17466,"-37.81077142757708, 144.9768137665318"
2024-12-09T03:44:36+03:00,2024-12-09T02:15:31+03:00,7247,Present,17471,"-37.81084937986229, 144.97752933315957"
2024-12-09T03:44:36+03:00,2024-12-08T23:41:48+03:00,7247,Unoccupied,17510,"-37.8109132011662, 144.9764084657962"
2024-12-09T03:44:36+03:00,2024-12-09T03:12:33+03:00,7247,Unoccupied,24620,"-37.81090579887784, 144.97634115083747"
2024-12-09T03:44:36+03:00,2024-12-09T02:58:12+03:00,7258,Present,22947,"-37.810164552190635, 144.97814572352434"
2024-12-09T03:44:36+03:00,2024-12-09T02:08:25+03:00,7258,Present,22939,"-37.81021819600076, 144.97813687073062"
2024-12-09T03:44:36+03:00,2023-11-29T04:09:00+03:00,,Unoccupied,24682,"-37.81407650770325, 144.96002484553657"
2024-12-09T03:44:36+03:00,2024-12-09T03:41:57+03:00,7510,Unoccupied,64448,"-37.81206468602045, 144.96688621264752"
2024-12-09T03:44:36+03:00,2024-04-04T02:25:21+03:00,7537,Unoccupied,63346,"-37.817726326577485, 144.95508703692184"
2024-12-09T03:44:36+03:00,2024-04-04T01:47:33+03:00,7537,Present,63345,"-37.81770785128694, 144.95515107738171"
2024-12-09T03:44:36+03:00,2024-04-03T22:54:28+03:00,7537,Present,63350,"-37.817799183952715, 144.95483408114114"
2024-12-09T03:44:36+03:00,2024-12-09T03:04:33+03:00,7537,Present,63340,"-37.81760931195645, 144.95549253042145"
2024-12-09T03:44:36+03:00,2024-12-09T03:41:09+03:00,7579,Present,63418,"-37.811669772161466, 144.97169211502285"
2024-12-09T03:44:36+03:00,2024-12-09T02:40:10+03:00,7528,Present,63148,"-37.81647647786581, 144.9593880347058"
2024-12-09T03:44:36+03:00,2024-12-09T02:53:47+03:00,7320,Present,63513,"-37.81219478906797, 144.96990656709656"
2024-12-09T03:44:36+03:00,2024-12-09T02:41:36+03:00,7334,Unoccupied,63510,"-37.81213414640016, 144.97011258637718"
2024-12-09T03:44:36+03:00,2024-12-09T01:19:50+03:00,7320,Present,63545,"-37.81236012778967, 144.9698963264026"
2024-12-09T03:44:36+03:00,2024-12-08T16:29:24+03:00,7320,Present,63546,"-37.812378921136535, 144.9698324373617"
2024-12-09T03:44:36+03:00,2024-12-09T03:01:52+03:00,7320,Present,63544,"-37.81234132631971, 144.96996016217224"
2024-12-09T03:44:36+03:00,2024-12-09T02:49:31+03:00,7415,Present,61242,"-37.817611198618394, 144.96313312388034"
2024-12-09T03:44:36+03:00,2024-12-09T03:42:25+03:00,7335,Present,64114,"-37.81655429082221, 144.954809371304"
2024-12-09T03:44:36+03:00,2024-12-09T03:33:50+03:00,,Unoccupied,64110,"-37.816461544831355, 144.95513526666156"
2024-12-09T03:44:36+03:00,2024-12-09T02:39:23+03:00,,Unoccupied,64111,"-37.816483482350726, 144.95505857439656"
2024-12-09T03:44:36+03:00,2024-12-09T03:43:06+03:00,7335,Present,64112,"-37.816505634092294, 144.9549808119982"
